station_id,name,short_name,lat,lon,region_id,capacity
74,Laguna St at Hayes St,SF-J21,37.776434819204745,-122.42624402046204,3,27
3,Powell St BART Station (Market St at 4th St),SF-G27,37.78637526861584,-122.40490436553954,3,35
4,Cyril Magnin St at Ellis St,SF-G26,37.78588062694133,-122.4089150084319,3,35
5,Powell St BART Station (Market St at 5th St),SF-H26,37.783899357084934,-122.40844488143921,3,35
6,The Embarcadero at Sansome St,SF-A27,37.80477,-122.403234,3,23
8,The Embarcadero at Vallejo St,SF-C28-1,37.799953,-122.398525,3,23
9,Broadway at Battery St,SF-C28-2,37.79857210846256,-122.40086898207666,3,19
10,Washington St at Kearny St,SF-D27,37.79539293725452,-122.4047702550888,3,31
11,Davis St at Jackson St,SF-D28,37.79728,-122.398436,3,35
12,Pier 1/2 at The Embarcadero,SF-D29,37.7963894,-122.3945855,3,0
13,Commercial St at Montgomery St,SF-E27,37.794231,-122.402923,3,19
14,Clay St at Battery St,SF-E28,37.795001,-122.39997,3,31
15,San Francisco Ferry Building (Harry Bridges Plaza),SF-E29-1,37.795392,-122.394203,3,38
16,Steuart St at Market St,SF-E29-2,37.79413,-122.39443,3,23
17,Embarcadero BART Station (Beale St at Market St),SF-E29-3,37.792251,-122.397086,3,27
19,Post St at Kearny St,SF-F27,37.788975,-122.403452,3,35
20,Mechanics Monument Plaza (Market St at Bush St),SF-F28-1,37.7913,-122.399051,3,23
21,Montgomery St BART Station (Market St at 2nd St),SF-F28-2,37.7896254,-122.400811,3,39
22,Howard St at Beale St,SF-F29,37.789756,-122.394643,3,27
23,The Embarcadero at Steuart St,SF-F30-1,37.791464,-122.391034,3,23
24,Spear St at Folsom St,SF-F30-2,37.7896767,-122.3904285,3,19
25,Howard St at 2nd St,SF-G28-1,37.787521780456245,-122.39740490913391,3,19
26,1st St at Folsom St,SF-G29-2,37.78729,-122.39438,3,23
27,Beale St at Harrison St,SF-G30-1,37.7880593,-122.3918648,3,19
28,The Embarcadero at Bryant St,SF-G30-2,37.78716801474664,-122.38809792330358,3,19
29,O'Farrell St at Divisadero St,SF-H18,37.782404601934104,-122.43944585323335,3,27
30,San Francisco Caltrain (Townsend St at 4th St),SF-J29,37.776598,-122.395282,3,19
31,Raymond Kimbell Playground,SF-H19,37.78381270927812,-122.43455886840819,3,27
32,Jefferson Square Park,SF-H21,37.7819895,-122.4273336,3,0
33,Golden Gate Ave at Hyde St,SF-H24,37.7816495,-122.4154077,3,23
34,Father Alfred E Boeddeker Park,SF-H25,37.7839879,-122.412408,3,23
36,Folsom St at 3rd St,SF-H28,37.78383,-122.39887,3,31
37,2nd St at Folsom St,SF-H29,37.78499972833808,-122.39593561749642,3,43
38,The Embarcadero at Delancey St,SF-H30,37.7827347,-122.3886256,3,0
